,title,label,tokens
72,CALIFORNIA DEMOCRAT MAXINE WATERS CHARGED ON 3 COUNTS. DO YOU SUPPORT THIS?,0,"['california', 'democrat', 'maxine', 'waters', 'charged', 'on', '3', 'counts', '.', 'do', 'you', 'support', 'this', '?']"
73,"BREAKING: British Intelligence Seizes Clinton Foundation Warehouse, $400 Million In Cash – NRTOnline",0,"['breaking', ':', 'british', 'intelligence', 'seizes', 'clinton', 'foundation', 'warehouse', ',', '$', '400', 'million', 'in', 'cash', '–', 'nrtonline']"
74,"OFFICIAL: Rudy Giuliani Officially Resigns, Trump’s Legal Team on Its Last Leg",0,"['official', ':', 'rudy', 'giuliani', 'officially', 'resigns', ',', 'trump', '’', 's', 'legal', 'team', 'on', 'its', 'last', 'leg']"
75,Michelle Obama Just Received LIFE-SHATTERING News From The Doctor,0,"['michelle', 'obama', 'just', 'received', 'life-shattering', 'news', 'from', 'the', 'doctor']"
76,SPECIAL REPORT: GEORGIA BECOMES FIRST STATE TO BAN MUSLIM CULTURE IN HISTORIC MOVE TO RESTORE WESTERN VALUES!,0,"['special', 'report', ':', 'georgia', 'becomes', 'first', 'state', 'to', 'ban', 'muslim', 'culture', 'in', 'historic', 'move', 'to', 'restore', 'western', 'values', '!']"
77,Tens of Thousands Of Scientists Declare Climate Change A Hoax,0,"['tens', 'of', 'thousands', 'of', 'scientists', 'declare', 'climate', 'change', 'a', 'hoax']"
78,The numbers don't lie... - Occupy Democrats,0,"['the', 'numbers', 'do', ""n't"", 'lie', '...', '-', 'occupy', 'democrats']"
79,Donald Trump to issue an executive order to ban Facebook across US,0,"['donald', 'trump', 'to', 'issue', 'an', 'executive', 'order', 'to', 'ban', 'facebook', 'across', 'us']"
80,"The hacked emails at the center of Mueller’s Russia investigation, explained",0,"['the', 'hacked', 'emails', 'at', 'the', 'center', 'of', 'mueller', '’', 's', 'russia', 'investigation', ',', 'explained']"
81,JUST IN: Barack Obama ARRESTED in a Japanese Drug Bust,0,"['just', 'in', ':', 'barack', 'obama', 'arrested', 'in', 'a', 'japanese', 'drug', 'bust']"
82,Lisa Page Squeals: DNC Server Was Not Hacked By Russia,0,"['lisa', 'page', 'squeals', ':', 'dnc', 'server', 'was', 'not', 'hacked', 'by', 'russia']"
83,"Bin Laden is “Alive and well in the Bahamas”, says Edward Snowden",0,"['bin', 'laden', 'is', '“', 'alive', 'and', 'well', 'in', 'the', 'bahamas', '”', ',', 'says', 'edward', 'snowden']"
84,Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison,0,"['robert', 'redford', 'says', ':', 'michelle', 'and', 'barack', 'obama', 'should', 'get', 'five', 'years', 'in', 'prison']"
85,Delta Ticket 2017,0,"['delta', 'ticket', '2017']"
86,Breaking: Mar-A-Lago Destroyed By Irma-Jared Kushner Still Missing,0,"['breaking', ':', 'mar-a-lago', 'destroyed', 'by', 'irma-jared', 'kushner', 'still', 'missing']"
87,Puerto Rico Mayor Facing Fraud Charges Over $3M In Federal Disaster Relief,0,"['puerto', 'rico', 'mayor', 'facing', 'fraud', 'charges', 'over', '$', '3m', 'in', 'federal', 'disaster', 'relief']"
88,Dying 78 Year Old CIA Agent Admits To Killing Marilyn Monroe,0,"['dying', '78', 'year', 'old', 'cia', 'agent', 'admits', 'to', 'killing', 'marilyn', 'monroe']"
89,Breaking News: FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents,0,"['breaking', 'news', ':', 'fbi', 'uncovers', 'evidence', 'that', '62', 'million', 'trump', 'voters', 'are', 'all', 'russian', 'agents']"
90, If You Are Using This Toothpaste… Throw It Away Immediately Nov 28,0,"['if', 'you', 'are', 'using', 'this', 'toothpaste…', 'throw', 'it', 'away', 'immediately', 'nov', '28']"
91,"Queen Elizabeth Says: “Muslim Refugees Are Dividing Nationality, I Fully Agree With Donald Trump We Should…”(VIDEO)",0,"['queen', 'elizabeth', 'says', ':', '“', 'muslim', 'refugees', 'are', 'dividing', 'nationality', ',', 'i', 'fully', 'agree', 'with', 'donald', 'trump', 'we', 'should…', '”', '(', 'video', ')']"
92,Account Suspended,0,"['account', 'suspended']"
93,McCain Blamed For Sabotaging Trump,0,"['mccain', 'blamed', 'for', 'sabotaging', 'trump']"
94,Create a Prank and trick your friends,0,"['create', 'a', 'prank', 'and', 'trick', 'your', 'friends']"
95,"BOMBSHELL: COMEY KNEW MURDERED DNC STAFFER, SETH RICH, WAS WIKILEAKS SOURCE & COVERED IT UP FOR HILLARY",0,"['bombshell', ':', 'comey', 'knew', 'murdered', 'dnc', 'staffer', ',', 'seth', 'rich', ',', 'was', 'wikileaks', 'source', '&', 'covered', 'it', 'up', 'for', 'hillary']"
96,American News is under construction,0,"['american', 'news', 'is', 'under', 'construction']"
97,"Actress Jennifer Aniston: “Me and All The Trump Supporter Celebrities Decide To Make A Company Named “Celebrities For Trump”, Which Fight Against All Anti Trump Celebrities, I Think President Trump Ne",0,"['actress', 'jennifer', 'aniston', ':', '“', 'me', 'and', 'all', 'the', 'trump', 'supporter', 'celebrities', 'decide', 'to', 'make', 'a', 'company', 'named', '“', 'celebrities', 'for', 'trump', '”', ',', 'which', 'fight', 'against', 'all', 'anti', 'trump', 'celebrities', ',', 'i', 'think', 'president', 'trump', 'ne']"
98,"Police Officers, Firefighters and Others Get Hit with Tax Penalty",0,"['police', 'officers', ',', 'firefighters', 'and', 'others', 'get', 'hit', 'with', 'tax', 'penalty']"
99,Whoopi Goldberg: Navy SEAL Widow was “Looking for Attention”,0,"['whoopi', 'goldberg', ':', 'navy', 'seal', 'widow', 'was', '“', 'looking', 'for', 'attention', '”']"
100,Starbucks Just Placed Trump’s Photo on Floor so Every Customer have to Step On It….,0,"['starbucks', 'just', 'placed', 'trump', '’', 's', 'photo', 'on', 'floor', 'so', 'every', 'customer', 'have', 'to', 'step', 'on', 'it…', '.']"
101,Food Stamp Enrollment Drops by Four Million in One Month,0,"['food', 'stamp', 'enrollment', 'drops', 'by', 'four', 'million', 'in', 'one', 'month']"
102,Obama Goes To G20 Summit,0,"['obama', 'goes', 'to', 'g20', 'summit']"
103,Melania Trump Hired Exorcist To ‘Cleanse White House Of Obama Demons’,0,"['melania', 'trump', 'hired', 'exorcist', 'to', '‘', 'cleanse', 'white', 'house', 'of', 'obama', 'demons', '’']"
104,URGENT: proposed law would charge protesters with terrorism,0,"['urgent', ':', 'proposed', 'law', 'would', 'charge', 'protesters', 'with', 'terrorism']"
105,"Fact-Check: No, Fall River, Massachusetts, Was Not ‘Built by Immigrants’",0,"['fact-check', ':', 'no', ',', 'fall', 'river', ',', 'massachusetts', ',', 'was', 'not', '‘', 'built', 'by', 'immigrants', '’']"
106,Clint Eastwood Leaves His Estate To The Trump 2020 Campaign,0,"['clint', 'eastwood', 'leaves', 'his', 'estate', 'to', 'the', 'trump', '2020', 'campaign']"
107,"Actor Brad Pitt: 'Trump Is Not My President, We Have No Future With This...'",0,"['actor', 'brad', 'pitt', ':', ""'trump"", 'is', 'not', 'my', 'president', ',', 'we', 'have', 'no', 'future', 'with', 'this', '...', ""'""]"
108,Police Find 19 White Female Bodies In Freezers With “Black Lives Matter” Carved Into Skin,0,"['police', 'find', '19', 'white', 'female', 'bodies', 'in', 'freezers', 'with', '“', 'black', 'lives', 'matter', '”', 'carved', 'into', 'skin']"
109,"BREAKING: Trump fires Deputy Attorney General Rod Rosenstein, raising questions over Mueller’s fate",0,"['breaking', ':', 'trump', 'fires', 'deputy', 'attorney', 'general', 'rod', 'rosenstein', ',', 'raising', 'questions', 'over', 'mueller', '’', 's', 'fate']"
110,JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS,0,"['jefferson', 'davis', 'statue', 'to', 'be', 'replaced', 'with', 'obama', 'likeness']"
111,John Hagee Calls For “Prosecuting Women Who Say God’s Name During Intercourse”,0,"['john', 'hagee', 'calls', 'for', '“', 'prosecuting', 'women', 'who', 'say', 'god', '’', 's', 'name', 'during', 'intercourse', '”']"
112,The Kardashians donate whopping sum to Las Vegas mass shooting victims,0,"['the', 'kardashians', 'donate', 'whopping', 'sum', 'to', 'las', 'vegas', 'mass', 'shooting', 'victims']"
113,Colorado Rockies Baseball Team To Sell Marijuana Brownies At Their Concession Stands,0,"['colorado', 'rockies', 'baseball', 'team', 'to', 'sell', 'marijuana', 'brownies', 'at', 'their', 'concession', 'stands']"
114,"MITT ROMNEY: ‘TRUMP HAS SOME VERY SERIOUS EMOTIONAL PROBLEMS, HE MUST RESIGN BEFORE WE…’",0,"['mitt', 'romney', ':', '‘', 'trump', 'has', 'some', 'very', 'serious', 'emotional', 'problems', ',', 'he', 'must', 'resign', 'before', 'we…', '’']"
115,BREAKING: Trump Removes Muslim Federal Judge For Trying To Implement Sharia Law In America,0,"['breaking', ':', 'trump', 'removes', 'muslim', 'federal', 'judge', 'for', 'trying', 'to', 'implement', 'sharia', 'law', 'in', 'america']"
116,BREAKING: Autopsy Results From Vince Foster’s Exhumed Body–Cause Of Death To Be Changed,0,"['breaking', ':', 'autopsy', 'results', 'from', 'vince', 'foster', '’', 's', 'exhumed', 'body–cause', 'of', 'death', 'to', 'be', 'changed']"
117,"Bill Gates: “I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.”",0,"['bill', 'gates', ':', '“', 'i', 'think', 'donald', 'trump', 'will', 'go', 'down', 'to', 'history', 'as', 'one', 'of', 'the', 'greatest', 'presidents', ',', 'just', 'like', 'reagan', '.', '”']"
118,"Florida Bridge Collapse, Female Company",0,"['florida', 'bridge', 'collapse', ',', 'female', 'company']"
119,HRC Caught On Tape Laughing About Irma Wiping Out All Of Those Florida Hillbillies,0,"['hrc', 'caught', 'on', 'tape', 'laughing', 'about', 'irma', '\x91wiping', 'out', 'all', 'of', 'those', 'florida', 'hillbillies\x92']"
120,Alabama State Police Arrest 3 Poll Workers In Birmingham,0,"['alabama', 'state', 'police', 'arrest', '3', 'poll', 'workers', 'in', 'birmingham']"
121,HOLLYWOOD CELEBS: WE WILL GO ON ‘TOTAL STRIKE’ IF TRUMP DOES NOT RESIGN,0,"['hollywood', 'celebs', ':', 'we', 'will', 'go', 'on', '‘', 'total', 'strike', '’', 'if', 'trump', 'does', 'not', 'resign']"
122,BREAKING: Roy Moore’s Accuser Arrested And Charged With Falsification,0,"['breaking', ':', 'roy', 'moore', '’', 's', 'accuser', 'arrested', 'and', 'charged', 'with', 'falsification']"
123,White House Chef Quits Because Trump Has Only Eaten Fast Food For 6 Months,0,"['white', 'house', 'chef', 'quits', 'because', 'trump', 'has', 'only', 'eaten', 'fast', 'food', 'for', '6', 'months']"
124,112-Year-Old Voters in North Carolina?,0,"['112-year-old', 'voters', 'in', 'north', 'carolina', '?']"
125,Denzel Washington hit by Facebook fake news story on Trump,0,"['denzel', 'washington', 'hit', 'by', 'facebook', 'fake', 'news', 'story', 'on', 'trump']"
126,NASA Will Pay You 18000 USD To Stay In Bed And Smoke Weed For 70 Straight Days,0,"['nasa', 'will', 'pay', 'you', '18000', 'usd', 'to', 'stay', 'in', 'bed', 'and', 'smoke', 'weed', 'for', '70', 'straight', 'days']"
127,BREAKING: Nancy Pelosi Was Just Taken From Her Office In Handcuffs,0,"['breaking', ':', 'nancy', 'pelosi', 'was', 'just', 'taken', 'from', 'her', 'office', 'in', 'handcuffs']"
128,Paul Ryan: “Donald Trump Plans To Resign From Office Within The Next 30 Days”,0,"['paul', 'ryan', ':', '“', 'donald', 'trump', 'plans', 'to', 'resign', 'from', 'office', 'within', 'the', 'next', '30', 'days', '”']"
129,LISTEN: Curious Robocall Seeks 'Damaging' Information on Moore,0,"['listen', ':', 'curious', 'robocall', 'seeks', ""'damaging"", ""'"", 'information', 'on', 'moore']"
130,"National Guard Storms Mexico Border, Makes Game-Changing Impact In Just 30 Days",0,"['national', 'guard', 'storms', 'mexico', 'border', ',', 'makes', 'game-changing', 'impact', 'in', 'just', '30', 'days']"
131,BREAKING: Florida Moves For FULL RECOUNT Of State Over Massive Voter Fraud (DETAILS),0,"['breaking', ':', 'florida', 'moves', 'for', 'full', 'recount', 'of', 'state', 'over', 'massive', 'voter', 'fraud', '(', 'details', ')']"
132,BREAKING: Shep Smith To Be Canned Because He Can’t Control His Hate For Donald Trump,0,"['breaking', ':', 'shep', 'smith', 'to', 'be', 'canned', 'because', 'he', 'can', '’', 't', 'control', 'his', 'hate', 'for', 'donald', 'trump']"
133,"3,000-Pound Great White Shark Captured in Great Lakes",0,"['3,000-pound', 'great', 'white', 'shark', 'captured', 'in', 'great', 'lakes']"
134,Wife of Las Vegas massacre victim: ‘He saved my life and lost his’,0,"['wife', 'of', 'las', 'vegas', 'massacre', 'victim', ':', '‘', 'he', 'saved', 'my', 'life', 'and', 'lost', 'his', '’']"
135,BREAKING: MALIA OBAMA EXPELLED FROM HARVARD,0,"['breaking', ':', 'malia', 'obama', 'expelled', 'from', 'harvard']"
136,Bachmann: “White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery”,0,"['bachmann', ':', '“', 'white', 'people', 'have', 'suffered', 'more', 'in', 'the', 'last', '8', 'years', 'than', 'blacks', 'did', 'during', 'couple', 'years', 'of', 'slavery', '”']"
137,Babysitter on Crystal Meth Eats 3-Month-Old Baby,0,"['babysitter', 'on', 'crystal', 'meth', 'eats', '3-month-old', 'baby']"
138,Contact Support,0,"['contact', 'support']"
